"","TNS4","LY6D","LINC00887","MTRF1LP2","ZNF736P9Y","IGF2BP3","CRNN","MYEOV","KRT37","IQCM","CLCA4","IRS1","LINC01583","WSCD2","MRAP2","LINC02605","SMILR","PITX1","CST1","SPDYC","LRRK2","LSG1","SLC5A12","CAV1","LINC01910","SIM2","CAMK2B","HOXC8","GJB6","C7","AKR1C7P","CEL","APC","MAGI2","LINC02301","KRT17P3","KLF2","LINC01967","LAMA1","AFP","LINC01615","SLC51B","TRPC4AP","SLCO1B1","STRA6","MIR2052HG","PPFIA4","ELANE","PCAT7","C14orf39","DIRC3","OR5T1","BCAR1","MLNR","LINC01748","SLC25A24P1","PCNPP3","GPIHBP1","CNTNAP4","IGSF1","LOXHD1","MESTP1","MRC1","PDE10A","GABRP","DIPK1C","FAM83A","LINC02167","H2AC14","CSAG3","LARGE2","CENPIP1","LINC02360","MMP20","PITX2","C7orf33","ALDH3B1","UQCRBP2","MAGEA10","RBMY1KP","TLX3","BOLL","GPRC5A","GTSF1","LINC02315","EPHA6","LINC00942","APLN","BAIAP2L2","RFPL4AP6","H2BC9","ZIC3","AK4","CASC19","EPHA7","COL9A3","CSN1S1","BTNL9","CLPSL1","CA4","GJB2","CLCA2","LINC01698","INA","GRIN2D","TRIO","FBN2","LINC02763","EVX2","ALG1L","PARPBP","FOSB","LINC00488","LINP1","IL19","CNFN","ALG1L3P","KREMEN2","CRYBA2","ABCC5","ABCC2","A2ML1","ABCA3","KCNV1","GNG4","OTOP2","SLC6A5","LINC01639","GKN2","CENPI","DSEL","PRORY","RPL26P13","KLK12","DMRT3","status"
"TCGA.77.7142.11A",7.44294349584873,3,2,1,1,5.95419631038687,2,3.8073549220576,1,1,3,11.7540523675289,1,6.58496250072116,7.33985000288462,7.24792751344359,1,3.32192809488736,2.58496250072116,1,15.6108518295732,11.7355560239115,4.16992500144231,17.6987453559258,2,7.68650052718322,3.8073549220576,5.8073549220576,3,15.4630772933249,4,5.32192809488736,12.7052003780631,10.3706874068072,1,1,12.1730524577741,1,7.8703647195834,2,2,8.84549005094437,13.2395985292491,1,4.4594316186373,2.58496250072116,6.4262647547021,4,1,2.58496250072116,5.70043971814109,1,11.8603110549195,2,2.58496250072116,1,2,11.5859014496908,2.58496250072116,4.70043971814109,7.8073549220576,2,15.3431163000443,9.73809225962049,7.02236781302845,1,6.35755200461808,1,1,1,8.59991284218713,1,6.88264304936184,1,1,1,14.0496784102864,2,1,1,1,1,17.4401229767863,5.95419631038687,5.08746284125034,5.24792751344359,2,10.8795832496128,5.52356195605701,1,2,1,10.4817994316658,1,6.16992500144231,6.12928301694497,1,13.1503819688178,1,12,8.58496250072116,4.4594316186373,1,2.58496250072116,6.93073733756289,13.3049216695817,6.32192809488736,2.58496250072116,1,3.58496250072116,7.52356195605701,14.173208652766,1,4.4594316186373,2.58496250072116,5.64385618977472,1,3.8073549220576,1,11.2632692003727,6.35755200461808,3.58496250072116,15.9481846928306,3.58496250072116,4.90689059560852,1,1,1,11.9607259948391,6.20945336562895,11.0848083878044,1,2,2,2,"0"
"TCGA.85.8049.01A",13.3017819620511,12.1305705628054,4.8073549220576,2.58496250072116,5.52356195605701,10.3398500028846,3.8073549220576,11.57931593758,2,3,6.64385618977472,12.4742129371939,3.58496250072116,7.89481776330794,10.7944158663501,5.24792751344359,4,11.5449644327892,9.21431912080077,3,9.90086680798075,12.4898479604393,5.24792751344359,12.2562086885274,3.58496250072116,9.11374216604919,5.39231742277876,6.88264304936184,12.3331553503106,12.8029201985853,7.49185309632967,9.43879185257826,11.5555477716471,9.2240016741981,5.52356195605701,7.12928301694497,11.7397806097733,3,14.5605716712366,2.58496250072116,6.64385618977472,5.90689059560852,13.1563991448716,1,12.61194694182,3.58496250072116,8.78135971352466,4.70043971814109,6.52356195605701,4,6.55458885167764,1,12.7862696276485,3,6.16992500144231,1,1,7.39231742277876,4.16992500144231,6.6724253419715,5.85798099512757,2.58496250072116,11.8634119589416,8.76818432477693,10.7927902943011,6.28540221886225,11.7673568541257,1,2,5.39231742277876,12.3799198176465,1,1,2.58496250072116,4.58496250072116,1,12.0396045179538,2,2.58496250072116,1,4.90689059560852,2,12.3426302986784,5.32192809488736,5.58496250072116,2.58496250072116,12.9004894848346,8.61470984411521,7.24792751344359,1,4.4594316186373,1,11.2021238238305,5.32192809488736,6.97727992349992,9.2240016741981,2,8.62935662007961,1,3.32192809488736,14.5148373139994,13.2752515434703,1,5.32192809488736,8.98299357469431,13.3949985145017,9.60362634498619,1,1,9.57742882803575,9.55074678538324,14.8438229321309,1,5.4594316186373,4.90689059560852,11.0914353863236,3,8.4594316186373,1,14.1972166931101,9.36632221424582,14.0665937763123,10.9483672315847,2,12.2015113445001,2.58496250072116,2,3.8073549220576,2,9.04439411935845,8.36632221424582,1,3,8.11894107272351,6.04439411935845,"0"
"TCGA.34.8454.11A",7.08746284125034,5.70043971814109,3.32192809488736,1,1,5.8073549220576,2.58496250072116,5,2,1,6.85798099512757,12.2479275134436,2.58496250072116,7.82017896241519,7.55458885167764,5.8073549220576,2.58496250072116,5.08746284125034,3,2,14.5070513022479,11.4553272203046,4,17.102631888855,1,6.7279204545632,6.08746284125034,5.64385618977472,6.61470984411521,13.7064960180612,3,4.32192809488736,12.0402897210257,10.5372184005386,1,1,13.2653220242349,1,6.28540221886225,1,4,9.1548181090521,13.0199381564248,1,8.62205181945638,1,7.12928301694497,5.90689059560852,4.4594316186373,3,5.24792751344359,1,13.0707918094231,2,3.32192809488736,2.58496250072116,2,12.5328429109613,5.70043971814109,6.04439411935845,8.03342300153745,2,13.9070784342965,8.58496250072116,6.24792751344359,3.32192809488736,4.70043971814109,1,1,2.58496250072116,9.24317398347295,1,2,1,2,1,13.7982692749497,1,3.32192809488736,1,2,2,16.4352470256772,8.44294349584873,4.16992500144231,4,3.32192809488736,12.7992816215219,5.95419631038687,1,2.58496250072116,1,10.0606959316876,1,7.62935662007961,8.88264304936184,1,12.344850683943,1,12.5844927969759,8.61470984411521,7.82017896241519,1,3,7.12928301694497,13.2775780024157,8.61470984411521,2.58496250072116,1,4.8073549220576,7.12928301694497,14.3797844740524,1,2.58496250072116,2.58496250072116,4.4594316186373,2,3.58496250072116,1,11.5840229402575,6.16992500144231,4,15.8197799318385,2.58496250072116,7.14974711950468,1,2,1,12.1465686757408,6.61470984411521,10.2946207488916,1,1,3.8073549220576,2.58496250072116,"0"
"TCGA.66.2785.01A",14.1703945523141,16.4744981518676,7.4093909361377,4.8073549220576,1,10.8641861446543,1,7.53915881110803,1,3,6.20945336562895,9.3037807481771,1,3.8073549220576,4.16992500144231,6.85798099512757,1,12.6882503091332,8.03342300153745,10.4532706340106,10.3987436919382,12.6470086384416,8.38370429247405,11.5038257379958,3.8073549220576,9.08214904135387,8.70735913208088,8.24792751344359,8.8073549220576,10.2714630279044,3.32192809488736,10.6635581042173,10.6564248632778,7.32192809488736,3.58496250072116,9.59245703726808,10.8233672400462,2.58496250072116,9.467605550083,1,5.08746284125034,5.39231742277876,14.292321632802,6.7279204545632,11.2562086885274,5,9.34429590791582,5.08746284125034,4.16992500144231,3.32192809488736,6.39231742277876,1,12.4645457503339,4.58496250072116,8.83920378809694,7.88264304936184,1,5.70043971814109,3,9.64024493622235,4.32192809488736,3.58496250072116,10.5018371849023,10.667111542075,9.5352753766208,3,13.3539738218182,2,4,7.35755200461808,12.1124395067816,1,1,3.58496250072116,3.32192809488736,2.58496250072116,12.7013064619586,7.78135971352466,11.3083390301394,1,1,3,13.5030803517529,10.7210991887072,8.24792751344359,3.32192809488736,5.32192809488736,8.6582114827518,9.63662462054365,1,9,1,10.5980525001616,2,1,6.88264304936184,1,10.2667865406949,7.65821148275179,4.32192809488736,13.1777309670333,9.5352753766208,4.90689059560852,5.58496250072116,8.44294349584873,12.3420746679991,6.88264304936184,1,3,9.66177809777199,10.6917435191713,12.1724275086455,2.58496250072116,3.58496250072116,4.16992500144231,9.92184093707449,5.52356195605701,10.3106127816595,2,11.7355560239115,6.39231742277876,15.6540765624951,13.6467836918378,2,8.35755200461808,2,1,1,6.32192809488736,9.12928301694497,7.4262647547021,1,3,1,1,"0"
"TCGA.43.6143.11A",8.11894107272351,5.58496250072116,3.58496250072116,1,3,6.24792751344359,4,5.90689059560852,1,1,6.24792751344359,12.0647427647503,3.32192809488736,7.74146698640115,6.95419631038687,5.4594316186373,1,5.85798099512757,4.90689059560852,2,15.9743697737814,12.1667907507182,2.58496250072116,16.2905588922483,2.58496250072116,7.08746284125034,6.12928301694497,6.8073549220576,6.28540221886225,17.6082692627192,3.32192809488736,5.32192809488736,12.5008418795569,10.8872206154684,2,1,13.527965641134,1,8.34872815423108,4,3.32192809488736,8.73470962022584,13.9149456560403,1,7.58496250072116,1,7.12928301694497,7.08746284125034,3.58496250072116,2.58496250072116,6.28540221886225,1,13.1617617433047,4,2,2.58496250072116,1,12.0251395622785,3.58496250072116,6.88264304936184,7.08746284125034,2,16.2203783276952,10.0168082876866,7.39231742277876,3.58496250072116,7.3037807481771,1,2,1,9.98013957763916,1,5.8073549220576,1,1,1,14.2360141919001,1,3,3.58496250072116,1,2,16.6358881325132,7.49185309632967,5.4594316186373,4.58496250072116,3.32192809488736,10.8641861446543,5.85798099512757,1,2,2.58496250072116,10.3106127816595,1,6.52356195605701,8.3037807481771,1,11.0028150156071,2,10.9643408677924,8.91288933622996,6.49185309632967,1,4.16992500144231,8.08746284125034,13.6724253419715,7.8703647195834,1,1,6.4262647547021,7.83289001416474,15.1045168543823,1,5.16992500144231,3.32192809488736,6.04439411935845,2,4.32192809488736,2,12.0606959316876,6.85798099512757,4.70043971814109,16.8937992203062,3,7.39231742277876,2,1,1,12.357002092265,6.28540221886225,10.5641494899857,1,1,2.58496250072116,2.58496250072116,"0"
"TCGA.56.A4ZJ.01A",13.2839564876651,10.6293566200796,5.08746284125034,3.32192809488736,1,8.39231742277876,1,7.2667865406949,5.08746284125034,1,10.5641494899857,13.8077574035893,3,6.49185309632967,7.76818432477693,5.95419631038687,2.58496250072116,12.3049216695817,12.7586396370246,1,14.3226323638986,12.7004397181411,4,14.3770749323772,2,9.49185309632967,5.52356195605701,8.11894107272351,11.3264294871223,13.2732128098543,3.32192809488736,6.70043971814109,11.0874628412503,10.9008668079807,3.32192809488736,7.4594316186373,11.9822806045583,1,11.3185428097027,3,5.8073549220576,6.35755200461808,13.8107724413447,1,10.7927902943011,5.58496250072116,8.65105169117893,5.39231742277876,3.8073549220576,3.8073549220576,8.84549005094437,1,13.7817695118631,2,3.58496250072116,1,2.58496250072116,9.81378119121704,4.8073549220576,7.4757334309664,6.64385618977472,2,13.8207773014191,7.68650052718322,7.4757334309664,3,13.3320365483617,1,2,1,12.2761244052742,1,1,1,4,1,12.1554507313121,1,3.58496250072116,1,1,3.32192809488736,14.7178905839873,7.22881869049588,2,3,5.39231742277876,9.2336196767597,8.33985000288462,2,5.52356195605701,1,11.3026389237876,3.32192809488736,5.32192809488736,6.24792751344359,2,10.467605550083,2.58496250072116,8.71424551766612,13.7590559391602,15.6807441030124,1,6.64385618977472,8.32192809488736,15.2850409218628,9,3.58496250072116,2.58496250072116,7.68650052718322,8.66533591718518,13.2446611447642,1,8.24792751344359,3,7.4093909361377,1,10.1623913287569,2,14.102631888855,5.95419631038687,7.94251450533924,15.8361983263098,3.32192809488736,5.85798099512757,1,3.32192809488736,1,9.62935662007961,8.48381577726426,9.24317398347295,1,6.08746284125034,4.16992500144231,6.4262647547021,"0"
"TCGA.70.6722.01A",15.970285676897,15.6021768953888,6.32192809488736,3,5.24792751344359,13.5394011790281,4.32192809488736,11.963618617444,1,2,9.76818432477693,13.43410692861,3,4.70043971814109,5.16992500144231,7.12928301694497,3,11.8217739819706,11.2008986050384,1,12.6591039634737,13.424953571261,3.32192809488736,16.3555575742594,3.32192809488736,7.95419631038687,13.3987436919382,7.08746284125034,12.3880172853451,11.8407779235951,5.24792751344359,10.3487281542311,12.4812949046311,9.40087943628218,3.32192809488736,5.8073549220576,10.2526654324502,1,9.86727873970966,3.8073549220576,6.93073733756289,5.90689059560852,13.9470889750254,3.8073549220576,10.6794800995054,3.58496250072116,7.28540221886225,4,6.4594316186373,3.32192809488736,6.6724253419715,1,15.01733040424,3,7.62935662007961,3.58496250072116,3.8073549220576,6.85798099512757,6.32192809488736,8,6.58496250072116,3.58496250072116,13.6227382178711,12.1440208692669,15.0175044011094,1,14.5268659793938,1,3.58496250072116,7.52356195605701,13.0515488384404,3,1,3.32192809488736,4.32192809488736,3.32192809488736,12.0967151544885,2.58496250072116,2,2,1,3,15.7995851870235,11.6564248632778,9.02236781302845,4.70043971814109,7.62935662007961,11.7108064336994,6.90689059560852,1,4.16992500144231,1,14.9762956067956,2,5.95419631038687,13.8011020571463,1,5.58496250072116,2,5.70043971814109,15.6540765624951,16.5844634354136,2,4.32192809488736,9.46352437327118,14.8843613391657,13.6965329140783,1,1,9.30833903013941,10.1749256825007,12.9989429514431,1,9.37068740680722,4.16992500144231,6.4262647547021,5.4594316186373,13.3947306294316,1,12.3331553503106,5.39231742277876,14.3154326379054,13.8982234712156,4,9.69696752623429,2,2,1,5.52356195605701,10.3509391815464,9.43879185257826,1,3,2.58496250072116,2,"0"
"TCGA.22.5471.11A",9.46352437327118,3.32192809488736,2,1,1,5.24792751344359,1,3,1,1,4.58496250072116,11.7039035734447,1,7.55458885167764,8.29462074889163,6.93073733756289,1,7.52356195605701,6,2.58496250072116,15.2830159848847,11.9578275608337,2,17.0145218034409,2,7.18982455888002,3.8073549220576,2,1,14.2854022188622,4.90689059560852,6.97727992349992,12.1823943534045,10.8978454560055,1,1,14.2409403632081,1,7.7279204545632,1,3,9.4757334309664,13.635718120331,1,5.39231742277876,2,6.20945336562895,6.35755200461808,4.32192809488736,3.32192809488736,5.08746284125034,1,13.2682495719945,2.58496250072116,1,2,1,13.6906527993485,2.58496250072116,5.58496250072116,8.31288295528435,1,15.8939176924919,7.98868468677217,8.02236781302845,3,6.8073549220576,1,2,1,9.94836723158468,1,2,1,2.58496250072116,1,15.0844762374539,1,1,3,1,2,17.6890015171902,7.35755200461808,4.4594316186373,2,3.32192809488736,11.3987436919382,4.8073549220576,1,2,1,8.99435343685886,1,7.18982455888002,4.8073549220576,1,12.5636729598275,1,11.9901039638575,7.04439411935845,8.78135971352466,1,3.8073549220576,7.56985560833095,13.4655664048094,5.39231742277876,1,1,7.49185309632967,6.75488750216347,18.0204916970333,1,3.58496250072116,1,5.64385618977472,2,4.58496250072116,1,11.1560830762887,6.08746284125034,4.32192809488736,17.164474870331,3,5.16992500144231,1,1,1,12.655083445198,5.90689059560852,10.1724275086455,1,1,4.58496250072116,5,"0"
"TCGA.60.2720.01A",13.8227699744443,10.868822554775,5.39231742277876,2,1,7.96578428466209,3.32192809488736,6.8073549220576,2,4.70043971814109,9.54303182025524,10.6688849842662,2,7.52356195605701,10.243173983473,5.58496250072116,4,11.1761731491075,13.3379006028609,3.58496250072116,10.7364019313183,11.9483672315847,9.27612440527424,13.1727400170494,3,9.54689445988764,9.25266543245025,8.54689445988764,12.2191685204622,12.2467405984931,2,10.1674181458317,9.55458885167764,8.35755200461808,1,5.95419631038687,9.63299519714296,1,11.4491486453754,1,7.52356195605701,5.4594316186373,13.2740869056344,3,11.8641861446543,2.58496250072116,8.27612440527424,4,5.90689059560852,7.22881869049588,7.22881869049588,1,13.2772874001304,3.32192809488736,7.8703647195834,4.58496250072116,3,7.91886323727459,4.58496250072116,8.11894107272351,3.8073549220576,2.58496250072116,10.4346282276367,9.31741261376487,7.71424551766612,7.14974711950468,13.4668412083216,3.58496250072116,2.58496250072116,2.58496250072116,13.4642904738508,1,1,3.8073549220576,6.35755200461808,3,10.1573469353628,1,1,1,8.69348695749932,1,14.3987436919382,4.32192809488736,1,1,5.16992500144231,10.0901124196643,10.4655664048094,1,7.37503943134692,1,11.7673568541257,2.58496250072116,5.39231742277876,10.7465143211385,1,8.11894107272351,6,5.24792751344359,15.215912127554,15.6729225087242,3,9.31288295528435,9.95128471496697,12.6591039634737,8.70735913208088,4,1,9.86418614465428,8.8008998999203,12.8233672400462,1,6.16992500144231,5.4594316186373,9.81698362325538,2,10.7021726853655,5.52356195605701,11.8209766926212,4.58496250072116,9.6724253419715,12.5593770905267,3.58496250072116,11.3531468254981,3,2.58496250072116,1,6.75488750216347,8.17990909001493,7.5077946401987,1,4.16992500144231,4.58496250072116,4,"0"
"TCGA.77.8130.01A",14.8469594400114,11.8057438721516,4.8073549220576,2,7.10852445677817,8.69348695749932,4,4.90689059560852,3,1,9.14465824283188,12.7719020806977,2.58496250072116,7.78135971352466,5.16992500144231,4,5.16992500144231,11.4439795426013,9.92184093707449,1,9.50382573799575,11.5764843467969,3.58496250072116,16.3058480043149,1,9.53915881110803,4.8073549220576,6.4594316186373,12.6411485974112,12.3559016383284,2.58496250072116,4.58496250072116,10.3128829552844,8.23840473932508,2,8.21916852046216,8.22881869049588,2,11.7515440590891,1,9,4,12.929258408637,1,8.10852445677817,3.8073549220576,8.14974711950468,2,5,1,6.78135971352466,1,13.1124395067816,1,3,1,1,3,3,6.6724253419715,2,1,8.77478705960117,7.56985560833095,7.12928301694497,8.85174904141606,13.5555477716471,6.6724253419715,2,2,12.1228279948077,1,2,4.32192809488736,3,1,10.2360141919001,1,2,1,1,2,13.2398968224459,3,7.32192809488736,1,4.32192809488736,11.4655664048094,10.5622424242211,1,7.32192809488736,1,12.4868350215631,2,2.58496250072116,9.55074678538324,1,4.90689059560852,1,2.58496250072116,15.4692602360054,15.8798225302995,4.4594316186373,3.32192809488736,9.85486838326024,14.1557669384457,9.74146698640115,1,1,8.48381577726426,7.56985560833095,11.7304701371842,1,5.08746284125034,3.32192809488736,13.0157634873699,2.58496250072116,7.8703647195834,2.58496250072116,11.1823943534045,4.32192809488736,14.3484515374071,11.5430318202552,2.58496250072116,7.91886323727459,7.16992500144231,1,1,3.58496250072116,7.49185309632967,8.49984588708321,1,3.58496250072116,8.48381577726426,2.58496250072116,"0"
