"","ALDH3B1","ALG1L","APC","C7","CAV1","CENPI","CST1","EPHA6","FAM83A","FOSB","GABRP","GJB6","GKN2","GPRC5A","GTSF1","H2AC14","IRS1","KREMEN2","LARGE2","LINC00887","LINC01910","LINC02605","LY6D","MAGEA10","MAGI2","MMP20","PCAT7","PITX2","TLX3","TNS4","WSCD2","status"
"TCGA.77.7142.11A",14.0496784102864,3.58496250072116,12.7052003780631,15.4630772933249,17.6987453559258,6.20945336562895,2.58496250072116,5.24792751344359,6.35755200461808,14.173208652766,7.02236781302845,3,11.9607259948391,17.4401229767863,5.95419631038687,1,11.7540523675289,3.8073549220576,8.59991284218713,2,2,7.24792751344359,3,1,10.3706874068072,1,1,1,1,7.44294349584873,6.58496250072116,"0"
"TCGA.85.8049.01A",12.0396045179538,9.57742882803575,11.5555477716471,12.8029201985853,12.2562086885274,9.04439411935845,9.21431912080077,2.58496250072116,11.7673568541257,14.8438229321309,10.7927902943011,12.3331553503106,2,12.3426302986784,5.32192809488736,2,12.4742129371939,8.4594316186373,12.3799198176465,4.8073549220576,3.58496250072116,5.24792751344359,12.1305705628054,2.58496250072116,9.2240016741981,2.58496250072116,6.52356195605701,4.58496250072116,4.90689059560852,13.3017819620511,7.89481776330794,"0"
"TCGA.34.8454.11A",13.7982692749497,4.8073549220576,12.0402897210257,13.7064960180612,17.102631888855,6.61470984411521,3,4,4.70043971814109,14.3797844740524,6.24792751344359,6.61470984411521,12.1465686757408,16.4352470256772,8.44294349584873,1,12.2479275134436,3.58496250072116,9.24317398347295,3.32192809488736,1,5.8073549220576,5.70043971814109,3.32192809488736,10.5372184005386,1,4.4594316186373,2,2,7.08746284125034,7.82017896241519,"0"
"TCGA.66.2785.01A",12.7013064619586,9.66177809777199,10.6564248632778,10.2714630279044,11.5038257379958,9.12928301694497,8.03342300153745,3.32192809488736,13.3539738218182,12.1724275086455,9.5352753766208,8.8073549220576,6.32192809488736,13.5030803517529,10.7210991887072,4,9.3037807481771,10.3106127816595,12.1124395067816,7.4093909361377,3.8073549220576,6.85798099512757,16.4744981518676,11.3083390301394,7.32192809488736,3.58496250072116,4.16992500144231,3.32192809488736,1,14.1703945523141,3.8073549220576,"0"
"TCGA.43.6143.11A",14.2360141919001,6.4262647547021,12.5008418795569,17.6082692627192,16.2905588922483,6.28540221886225,4.90689059560852,4.58496250072116,7.3037807481771,15.1045168543823,7.39231742277876,6.28540221886225,12.357002092265,16.6358881325132,7.49185309632967,2,12.0647427647503,4.32192809488736,9.98013957763916,3.58496250072116,2.58496250072116,5.4594316186373,5.58496250072116,3,10.8872206154684,1,3.58496250072116,1,1,8.11894107272351,7.74146698640115,"0"
"TCGA.56.A4ZJ.01A",12.1554507313121,7.68650052718322,11.0874628412503,13.2732128098543,14.3770749323772,8.48381577726426,12.7586396370246,3,13.3320365483617,13.2446611447642,7.4757334309664,11.3264294871223,9.62935662007961,14.7178905839873,7.22881869049588,2,13.8077574035893,10.1623913287569,12.2761244052742,5.08746284125034,2,5.95419631038687,10.6293566200796,3.58496250072116,10.9008668079807,1,3.8073549220576,4,1,13.2839564876651,6.49185309632967,"0"
"TCGA.70.6722.01A",12.0967151544885,9.30833903013941,12.4812949046311,11.8407779235951,16.3555575742594,10.3509391815464,11.2008986050384,4.70043971814109,14.5268659793938,12.9989429514431,15.0175044011094,12.3880172853451,5.52356195605701,15.7995851870235,11.6564248632778,3.58496250072116,13.43410692861,13.3947306294316,13.0515488384404,6.32192809488736,3.32192809488736,7.12928301694497,15.6021768953888,2,9.40087943628218,3.32192809488736,6.4594316186373,4.32192809488736,1,15.970285676897,4.70043971814109,"0"
"TCGA.22.5471.11A",15.0844762374539,7.49185309632967,12.1823943534045,14.2854022188622,17.0145218034409,5.90689059560852,6,2,6.8073549220576,18.0204916970333,8.02236781302845,1,12.655083445198,17.6890015171902,7.35755200461808,2,11.7039035734447,4.58496250072116,9.94836723158468,2,2,6.93073733756289,3.32192809488736,1,10.8978454560055,1,4.32192809488736,2.58496250072116,1,9.46352437327118,7.55458885167764,"0"
"TCGA.60.2720.01A",10.1573469353628,9.86418614465428,9.55458885167764,12.2467405984931,13.1727400170494,8.17990909001493,13.3379006028609,1,13.4668412083216,12.8233672400462,7.71424551766612,12.2191685204622,6.75488750216347,14.3987436919382,4.32192809488736,2.58496250072116,10.6688849842662,10.7021726853655,13.4642904738508,5.39231742277876,3,5.58496250072116,10.868822554775,1,8.35755200461808,3.8073549220576,5.90689059560852,6.35755200461808,8.69348695749932,13.8227699744443,7.52356195605701,"0"
"TCGA.77.8130.01A",10.2360141919001,8.48381577726426,10.3128829552844,12.3559016383284,16.3058480043149,7.49185309632967,9.92184093707449,1,13.5555477716471,11.7304701371842,7.12928301694497,12.6411485974112,3.58496250072116,13.2398968224459,3,2,12.7719020806977,7.8703647195834,12.1228279948077,4.8073549220576,1,4,11.8057438721516,2,8.23840473932508,4.32192809488736,5,3,1,14.8469594400114,7.78135971352466,"0"
