"","SOX17","TMPRSS4","EGF","TMPRSS11D","PLPP4","HMGB3P6","PSMD10P2","GSDMC","CD5L","RPTN","PLA2G1B","EIF4G1","LINC01994","GABRG2","CDT1","VIL1","FOXG1","IQANK1","GYPE","FANCI","VEPH1","PCAT6","CYCSP6","SP8","SLC9A2","LINC02163","DNASE2B","OR7E47P","HELLS","LINC02306","CHRDL1","RNF222","VCAN","LINC00668","PPFIA4","MAGEC2","PLUT","OR10Q1","MT1M","MIR205HG","LINC02830","KCNK2","CABP5","PLXNB3","PES1P1","LARGE2","C1orf158","OR8I2","AGRP","LINP1","CRB3P1","SALL4","CBLN2","CA6","IGF2BP3","UGT1A7","BPIFB2","OR7E36P","H2BC9","LINC02555","CSTL1","NLGN1","AK4P3","FAM25A","NAA11","CNTNAP4","PCNPP3","GCGR","LINC00640","C8B","PRSS56","DCAF8L1","LINC00940","KRT75","ONECUT3","NDNF","LINC00887","KRT17P1","LINC01412","PARPBP","CT55","BMP7","SPRR2B","UCN2","SBSN","CD93","KRTDAP","SPRR4","LY6G6C","C4BPA","SKA1","HROB","COL17A1","TFAP2A","FAM83A","GPM6A","SFTPA1","LDB2","AQP4","ISM2","HJURP","CEP55","ATF7IP","EWSAT1","DMRT1","CCDC121P1","LINC01956","FGF4","NRSN1","KCNV1","GNG4","OTOP2","SLC6A5","LINC01639","GKN2","CENPI","DSEL","PRORY","RPL26P13","KLK12","DMRT3","COL9A3","JPH3","AQP1","SCUBE1","ACP7","ASCL4","status"
"TCGA.66.2800.01A",6.49185309632967,15.0903605683403,9.18487534290828,10.4136279290242,8.09803208296053,3.32192809488736,6.6724253419715,10.2992080183873,4.58496250072116,9.77478705960117,7.97727992349992,16.1630599623942,3,5.75488750216347,11.5449644327892,6.55458885167764,1,13.1714895770657,5.24792751344359,12.6586577921261,9.48381577726426,10.0443941193585,8.70043971814109,8.4262647547021,11.0768155970508,5.24792751344359,6.7279204545632,7.85798099512757,11.1072170755914,2.58496250072116,10.047123912114,5.58496250072116,14.1592406504117,12.0721326041672,9.37937836707126,11.9008668079807,1,1,7.4757334309664,11.4522412404308,4.70043971814109,7.18982455888002,2.58496250072116,9.86108690599539,3,12.61194694182,5.39231742277876,1,6.08746284125034,3.58496250072116,1,5.95419631038687,4,5.24792751344359,11.5304063370991,13.3899001727731,5.52356195605701,1,9.26209484537018,7.4093909361377,4.8073549220576,8.78135971352466,3,6.32192809488736,11.4858293087019,3,2,6.16992500144231,6.7279204545632,8.10852445677817,4.16992500144231,7.06608919045777,1,4.8073549220576,4.16992500144231,11.3586512008929,3.58496250072116,4.58496250072116,3.32192809488736,11.2573878426927,7,13.3165643853969,9.87344411251538,6.49185309632967,12.2082343583398,12.3003525603282,12.9837061926593,6.97727992349992,10.0714623625566,14.1459321458205,10.7142455176661,10.3901689562002,13.4470832262097,11.243173983473,9.61102479730735,7.93073733756289,17.9711730434145,10.652844973002,13.5223363209133,9.4262647547021,11.9233274854192,11.958552715431,12.5033288566267,4.16992500144231,4.90689059560852,2.58496250072116,4.32192809488736,1,6.90689059560852,5.39231742277876,9.68650052718322,6.6724253419715,2.58496250072116,4,8.34872815423108,9.51175265376738,9.49585502688717,1,3.8073549220576,9.83605035505807,9.09803208296053,7.95419631038687,4.90689059560852,14.9156926826154,7.91886323727459,11.8033239190415,4.32192809488736,"0"
"TCGA.63.A5MJ.01A",7.97727992349992,15.1067265020392,9.71080643369935,7.55458885167764,9.92777796208234,4.4594316186373,4.90689059560852,11.0512089409148,1,10.3487281542311,2,17.1465090129897,3,3.58496250072116,13.1680452682241,3,3.32192809488736,12.9563761572497,3.32192809488736,13.2149261879424,6.75488750216347,10.1085244567782,9.49585502688717,4.4594316186373,9.44708322620965,6.08746284125034,4.70043971814109,5.58496250072116,12.713386514937,2.58496250072116,7.4093909361377,5.24792751344359,14.9714537419521,11.632995197143,10.4346282276367,1,1,1,6.7279204545632,13.2839564876651,3.58496250072116,8,1,10.7364019313183,2,13.0774833568595,1,1,2,4.90689059560852,1,8.59991284218713,5,2.58496250072116,11.9240701855853,9.45532722030456,1,2,10.7764330324447,1,3,6.88264304936184,1,5.52356195605701,2,7.7279204545632,2,2.58496250072116,7.20945336562895,1,3.58496250072116,1,2,4.70043971814109,5.16992500144231,6.83289001416474,6.35755200461808,7.06608919045777,1,11.523561956057,2,14.7480879987561,9.99717948093762,7.5077946401987,12.7334390828994,13.4125698468052,13.8877917913416,9.04439411935845,9.99717948093762,2,11.5459297690855,11.6320864128352,12.604553229079,12.3370643386847,11.5028318040667,1,4.70043971814109,10.6564248632778,2,8.88264304936184,11.90989308377,12.9008668079807,13.591756076023,4.90689059560852,5.08746284125034,1,2.58496250072116,1,1,2,10.0980320829605,7.35755200461808,2.58496250072116,5.58496250072116,1,10.5507467853832,8.18982455888002,2,5.58496250072116,2,8.93073733756289,6.28540221886225,7.24792751344359,12.9657842846621,6.61470984411521,11.4157417682901,4.32192809488736,"0"
"TCGA.39.5037.01A",4.90689059560852,14.9289809406025,10.1623913287569,12.7099453802325,5.64385618977472,3.58496250072116,4.70043971814109,10.7313190310251,1,7.56985560833095,5.58496250072116,16.2251321062884,3.58496250072116,2.58496250072116,13.2422809503024,3.32192809488736,4.32192809488736,13.0320457269308,3.8073549220576,13.7257922714942,7.39231742277876,10.1922928144708,5.70043971814109,8.7279204545632,11.2203783276952,6.8073549220576,2.58496250072116,2,12.9487322398196,3,8.74146698640115,5.08746284125034,9.52356195605701,11.1318569606088,8.64385618977472,4.16992500144231,1,1,7.24792751344359,13.6082548219779,7.61470984411521,8.05528243550119,2,9.09803208296053,1,12.2401950539799,3.58496250072116,1,3,5.90689059560852,1,6.83289001416474,5.32192809488736,4.4594316186373,10.7944158663501,12.6631133084558,3,2,8.17990909001493,5.08746284125034,4.8073549220576,8.43462822763673,1,6.08746284125034,2,2,1,5.90689059560852,7.33985000288462,2,5.58496250072116,1,1,7.4594316186373,7.56985560833095,8.86418614465428,5.39231742277876,7.04439411935845,3.32192809488736,12.0168082876866,1,13.9943534368589,7.61470984411521,6.95419631038687,11.2191685204622,9.31288295528435,13.5596160858127,7.22881869049588,9.29462074889163,11.2538474849874,11.6794800995054,11.3641346550081,13.0122753448561,11.4019461239765,9.28540221886225,6.04439411935845,16.8530902100921,7.44294349584873,11.6564248632778,8.06608919045777,11.5137275959524,13.0804844570676,12.661778097772,6.4594316186373,7.93073733756289,2.58496250072116,6.88264304936184,4.58496250072116,3.8073549220576,8.29462074889163,10.1163439612375,7.78135971352466,1,2.58496250072116,6.04439411935845,9.89784545600551,10.1006623390052,1,4.8073549220576,9.3037807481771,10.0498485494506,9.02790599656988,5.64385618977472,12.4398308839814,5,10.0660891904578,5.24792751344359,"0"
"TCGA.22.5471.01A",7.75488750216347,15.1885888457073,9.48784003382305,13.1904420187828,8.78790255939143,1,6.16992500144231,10.1241213118292,3.58496250072116,8.8703647195834,4,16.5244192815448,3,3,13.1241213118292,10.0028150156071,1,12.7168194613299,5.4594316186373,12.6206780421354,7.28540221886225,7.76818432477693,8.4757334309664,7.74146698640115,10.616548843779,5.85798099512757,2.58496250072116,6.4262647547021,12.3128829552844,2.58496250072116,7.65821148275179,5.90689059560852,13.1987519651937,8.8008998999203,8.74146698640115,4.90689059560852,1,1,9.09803208296053,13.3572770746428,7.71424551766612,6.28540221886225,1,10.2900188469326,1,14.6142497276894,4.32192809488736,1,2.58496250072116,5.85798099512757,1,7.4757334309664,6.88264304936184,3,11.4083297407674,10.4491486453754,4.16992500144231,1,6.61470984411521,3,5.58496250072116,6.93073733756289,1,6.49185309632967,4.90689059560852,1,2,4.8073549220576,6.20945336562895,1,4,1,1,11.3728650601126,4.58496250072116,6.52356195605701,5.75488750216347,6.08746284125034,2,11.2467405984931,1,12.9628960053373,6.95419631038687,7.22881869049588,12.6425030287805,11.4136279290242,11.9351650496037,5.64385618977472,11.3398500028846,4.4594316186373,11.1910592145317,11.7380922596205,14.9260179563565,12.6352646565395,9.92481250360578,3.58496250072116,9.12412131182919,9.31288295528435,4.16992500144231,6.85798099512757,11.9038818457362,12.7431513941125,13.4961047793401,8.02236781302845,5.08746284125034,3.32192809488736,5.16992500144231,2,1,1,10.6183855022586,3.58496250072116,2,1,1,10.6402449362223,6.70043971814109,1,4.70043971814109,10.5774288280357,7.4093909361377,7.8703647195834,4.32192809488736,12.6847486204216,7.7279204545632,9.07681559705083,5,"0"
"TCGA.NK.A7XE.01A",5.95419631038687,13.0596824472476,9.24792751344359,6.90689059560852,5,2,2.58496250072116,10.8201789624152,1,4.16992500144231,2.58496250072116,15.3722529272807,1,1,11.0552824355012,5.32192809488736,1,11.8517490414161,1,12.7747870596012,6.52356195605701,8.40087943628219,5.75488750216347,2.58496250072116,6.61470984411521,6,1,2.58496250072116,10.8486229404293,1,6.85798099512757,3.58496250072116,10.515699838284,9.44294349584873,8.74819284958946,3.32192809488736,1,1,5.52356195605701,14.5179153929159,7.64385618977472,2.58496250072116,1,11.2021238238305,4.4594316186373,12.6926155016946,2,1,3,4.70043971814109,1,7.90689059560852,2,2,8.76155123244448,6,1,1,2,2,5,7.35755200461808,4.32192809488736,6.16992500144231,10.1699250014423,1,1,8.4178525148859,6.61470984411521,2.58496250072116,1,4,1,6.4262647547021,2.58496250072116,6.20945336562895,4.32192809488736,3.58496250072116,1,9.88569637333939,1,13.2134080408583,4.32192809488736,9.88264304936184,7.39231742277876,9.77807712953536,4,3,4.16992500144231,6.32192809488736,9.87958324961278,10.9657842846621,12.4893462407191,11.7030383889864,12.919980595049,3.8073549220576,6.83289001416474,7.16992500144231,3,5,11.1189410727235,12.3470676571659,11.9607259948391,7.06608919045777,4,1,3.8073549220576,1,1,1,6.83289001416474,1,2,1,1,9.7176764230664,2.58496250072116,1,5.8073549220576,4.4594316186373,7.4093909361377,8.07681559705083,3,9.56985560833095,4,8.93663793900257,3.58496250072116,"0"
"TCGA.66.2758.01A",5,14.991610417463,9.49585502688717,6.70043971814109,6.61470984411521,3,5.85798099512757,10.9381093262192,2,5.24792751344359,4.58496250072116,16.7744010129207,3,2,12.1541852092653,4.70043971814109,5.32192809488736,13.626393504174,3.58496250072116,13.4380120876511,7.52356195605701,9.38801728534514,8.71424551766612,5.85798099512757,9.91886323727459,7.18982455888002,4.32192809488736,6.85798099512757,11.1636496760158,2.58496250072116,9.01680828768655,3.32192809488736,13.2743781532464,11.9686667931952,10.6653359171852,8.3037807481771,1,1,5.52356195605701,14.9711842724047,2.58496250072116,8.83920378809694,1,11.843921051289,1,12.9610878899973,6.49185309632967,1,3.8073549220576,3,1,7.20945336562895,5.4594316186373,3.58496250072116,7.68650052718322,14.115693952197,7.12928301694497,3,2.58496250072116,4.32192809488736,4,8.88264304936184,2.58496250072116,2.58496250072116,1,2.58496250072116,2,5.16992500144231,6.04439411935845,4.32192809488736,4.90689059560852,1,1,3.8073549220576,4.16992500144231,9.73470962022584,3.58496250072116,2,2,11.9527412471865,1,10.6456584324087,4.4594316186373,6.49185309632967,7.79441586635011,11.602698865018,4.4594316186373,2,7.4262647547021,12.3815429511846,10.0714623625566,11.140829770773,13.9323993224338,9.6724253419715,8.44294349584873,5.24792751344359,14.9641603391003,9.19967234483636,11.5255208090951,8.04439411935845,11.6266216523584,12.1661630826461,13.6613327527952,9.98299357469431,6.97727992349992,1,3,1,2,7.4594316186373,8.63662462054365,5,3.58496250072116,1,6.75488750216347,10.6348110501717,10.7515440590891,1,6.16992500144231,3.58496250072116,10.1947568544222,7.53915881110803,6.4594316186373,13.4309751725881,8.4262647547021,11.4356702609366,3.58496250072116,"0"
"TCGA.NK.A5CT.01A",4.4594316186373,14.3255865452106,6.16992500144231,11.8917837032183,6.12928301694497,3.8073549220576,3.58496250072116,12.3706874068072,1,2.58496250072116,5.16992500144231,15.7708187245166,1,10.0279059965699,11.4726908392428,2,1,11.951284714967,3.32192809488736,12.2714630279044,6.83289001416474,9.31741261376487,6.70043971814109,6.12928301694497,9.08214904135387,5.32192809488736,2,4.16992500144231,11.8129794712515,1,3.8073549220576,5.32192809488736,10.958552715431,9.29001884693262,10.1059085085712,1,1,1,9.46352437327118,14.1088511170402,9.65105169117893,2,2,12.5347892114803,1,6.52356195605701,2.58496250072116,1,3.8073549220576,9.95419631038687,1,7.4757334309664,2,1,10.2691266791494,10.471675214392,1,2,8.94836723158468,4.4594316186373,6.61470984411521,3.8073549220576,3.58496250072116,2.58496250072116,1,2,2.58496250072116,2.58496250072116,5.58496250072116,2,7.4594316186373,1,1,3.8073549220576,6.8073549220576,7.61470984411521,7.6724253419715,7.18982455888002,1,9.08214904135387,2,4.70043971814109,2,7.71424551766612,5.64385618977472,9.96578428466209,2.58496250072116,2,6.83289001416474,9.44294349584873,10.9901039638575,10.3264294871223,16.8561823354215,13.7010898248172,16.0296754598749,3.58496250072116,15.1696901686851,8.36632221424582,10.2240016741981,3.32192809488736,11.8540891798706,12.655083445198,12.334831928118,4,1,1,1,1,1,1,11.9527412471865,4.32192809488736,1,2,4.4594316186373,9.57742882803575,11.2644426002266,1,3.32192809488736,3.8073549220576,1,3,4.4594316186373,12.4152135987653,6.04439411935845,6.52356195605701,2,"0"
"TCGA.46.6025.01A",5.52356195605701,14.9325838692893,10.0525680508042,5.8073549220576,8.83920378809694,1,7.79441586635011,11.5717526435035,1,6,3.32192809488736,18.0957060679802,2,8.4262647547021,12.5703301010308,2.58496250072116,2,13.5311377414447,3.32192809488736,13.4566110995749,6.16992500144231,9.83605035505807,4.32192809488736,4.16992500144231,4.58496250072116,6.49185309632967,2,6.93073733756289,10.7862696276485,1,6.7279204545632,4.16992500144231,14.1337844091799,4.32192809488736,9.93663793900257,1,1,2,7.02236781302845,15.5872501191222,7.61470984411521,9.93369065495223,1,12.0861362250273,1,14.9735180047037,1,1,2.58496250072116,10.8595347863827,1,8.49185309632967,11.4848228942621,4.16992500144231,12.5304063370991,6.95419631038687,2.58496250072116,1,8.24792751344359,4.4594316186373,4.90689059560852,9.24317398347295,2,3,1,1,2.58496250072116,4.8073549220576,7.7279204545632,1,4.58496250072116,1,1,8.77478705960117,8.876516946565,9.16490692667569,7.44294349584873,5.24792751344359,1,11.0209799389042,2,14.5069273753449,3.58496250072116,9.69696752623429,5.95419631038687,12.0821490413539,5.39231742277876,6.12928301694497,4.70043971814109,9.01680828768655,10.2667865406949,12.2002856052243,17.7537390673632,12.8849336479498,16.2150779148228,5.58496250072116,15.2218891614713,9.02236781302845,9.54689445988764,6.52356195605701,12.2252074369435,11.7397806097733,15.094242668809,9.85798099512757,6.4262647547021,1,1,1,2,6.97727992349992,6.12928301694497,7.08746284125034,2,1,3,9.46352437327118,11.2888660741658,2,6.20945336562895,3.8073549220576,9.50382573799575,6.39231742277876,5.32192809488736,12.6142497276894,6.55458885167764,5.52356195605701,1,"0"
"TCGA.85.8071.01A",5.32192809488736,12.6284455401372,9.59618975614441,12.5362472156881,7.44294349584873,3,4.8073549220576,10.8217739819706,1,3.58496250072116,1,15.2192441631436,4.4594316186373,1,10.5774288280357,5,2,12.7448338374995,3.58496250072116,11.8610869059954,3.32192809488736,9.18487534290828,7.8073549220576,2,4.32192809488736,6.20945336562895,1,4.32192809488736,11.7355560239115,1,2,4.58496250072116,13.1121136580979,11.6537407787066,9.73131903102506,2,1,1,3.8073549220576,12.3286749273279,2,9.68299458368168,1,11.7313190310251,1,11.8587580999354,2,1,2,5.39231742277876,1,4.4594316186373,9.23840473932508,1,11.4429434958487,7.96578428466209,11.0112272554233,1,10.5622424242211,2,1,3.8073549220576,2,2,1,3.32192809488736,1,7.24792751344359,8.39231742277876,1,1,1,2,7.6724253419715,2,4.58496250072116,2,5.85798099512757,1,9.81698362325538,1,12.3353903546939,2,7.8703647195834,8.15987133677839,8.81378119121704,5.75488750216347,1,4.4594316186373,3.58496250072116,8.92481250360578,10.1085244567782,15.1611318829843,12.2419831496943,14.4938554492408,2,6.83289001416474,7.8073549220576,2.58496250072116,8.06608919045777,11.539158811108,11.7047682393626,13.0080784108683,3.8073549220576,8.14974711950468,1,1,1,1,1,5.4594316186373,4,1,2,1,9.93957921431469,7.22881869049588,1,3.8073549220576,8.56985560833095,10.2946207488916,7.91886323727459,2.58496250072116,10.4429434958487,6.39231742277876,4.90689059560852,3.8073549220576,"0"
"TCGA.98.8021.01A",6.4262647547021,15.0260911225259,7.8703647195834,10.7813597135247,8.35755200461808,2.58496250072116,8.07681559705083,11.1085244567782,3.32192809488736,4.58496250072116,6.64385618977472,16.5895926323885,3.58496250072116,6.85798099512757,11.5410966153495,6.28540221886225,3.58496250072116,12.4262647547021,4.58496250072116,11.9410476063406,8.6724253419715,10.5468944598876,7.37503943134692,8.70043971814109,9.61838550225861,5.52356195605701,3.58496250072116,6.24792751344359,10.4093909361377,2.58496250072116,8.94251450533924,3.58496250072116,14.5641494899857,10.047123912114,9.73809225962049,3,1,1,7.12928301694497,13.3125993788626,6.58496250072116,7.53915881110803,1,11.140829770773,1,13.0461008450288,4,1,3.58496250072116,5.24792751344359,1,8.09803208296053,7.64385618977472,3,11.4706588740606,6.78135971352466,1,1,6.16992500144231,5.52356195605701,4,8.94836723158468,2,1,2.58496250072116,4.4594316186373,1,7.88264304936184,5.08746284125034,5.58496250072116,2,1,2,10.1421070573025,8.79441586635011,10.4797802640291,4.8073549220576,5.32192809488736,1,8.99435343685886,2,13.283088353024,5.85798099512757,7.18982455888002,7.37503943134692,12.1842554954053,4,3,5.24792751344359,11.7287708495427,10.0660891904578,8.72109918870719,15.4676692269546,12.2737955992143,11.471675214392,5.4594316186373,17.4209470859066,9.61470984411521,11.3049216695817,6.16992500144231,10.9454438363779,10.90989308377,13.0707918094231,4.4594316186373,5,5.08746284125034,5.58496250072116,3.32192809488736,6.49185309632967,5.4594316186373,11.6829945836817,5.24792751344359,5.4594316186373,5.39231742277876,5.8073549220576,9.33091687811462,10.0633950812885,1,5.16992500144231,4.8073549220576,8.07681559705083,9.56985560833095,9.25738784269265,13.0440525318013,7.08746284125034,8.81378119121704,4.32192809488736,"0"
