"","SLC46A2","POPDC3","NLRP10","PPP2R2C","FMO5","IRS1","RAD51AP2","SLC34A2","PLAAT1","AKR1C7P","SSX1","WNK2","DCAF8L1","SLC7A11","GCLC","ADGRF5","OR11N1P","MYOSLID","MAGEA3","LINC01234","LIPK","CAPN9","TRPM8","SLC47A2","SH2D5","LINC02598","CLEC3B","NALF2","GINS2","MIR4713HG","PDE10A","NUS1P2","RCOR2","CHRD","SPRR2D","TPTE","OLFM3","CHIAP2","FAM83A","SPRR2G","VIL1","RGS20","MMRN1","RPL26P13","FAM72C","VCAN","CYP4F2","PTCHD3","ALOX15P2","CDKN2A","DUXAP9","LINC02434","MAB21L3","CCNP","DEFA5","CLEC4M","FTCD","OTOP1","SMC1B","POU3F2","CCDC141","KRT3","CD5L","ABCA3","IL19","CFHR4","NR0B1","H3C4","PPP1R27","TLX3","LINC02377","LINC01549","DSCR4","KLK9","OR7E5P","CACNA1I","IL6","PRSS3","ONECUT3","SRMP1","NTSR2","PLXNB3","OR5M11","C14orf39","PPFIA4","KCNA10","C7orf33","IMPDH1P8","KIAA0895LP1","LINC01228","MAGEA6","CR1","PPP4R3C","DCAF8L2","TEK","CCDC140","FOXD3","LINC01036","PTPN5","GTF2IRD2P1","ALOXE3","SBSN","B4GALNT2","MAP1LC3C","MRC1","CDH5","GIMAP8","COL4A3","BPIFB4","AGER","RGL1","DLX1","DES","ISM2","C7","LINC02471","ESCO2","ANGPT4","LINC02457","C4orf17","GALNT14","KCNV1","GNG4","OTOP2","PCNPP3","SLC6A5","LINC01639","GKN2","CENPI","DSEL","PRORY","KLK12","DMRT3","COL9A3","JPH3","AQP1","SCUBE1","ACP7","ASCL4","SP8","status"
"TCGA.77.A5GA.01A",5,9.43045255166553,2,11.581200581925,6.4262647547021,10.6110247973074,5.52356195605701,12.4130989849153,6.52356195605701,6.20945336562895,1,11.5245417150358,1,12.9340593949008,15.1788982275739,10.2761244052742,2,6.58496250072116,12.7056323873614,5.24792751344359,3.58496250072116,4.70043971814109,2.58496250072116,8.59991284218713,6.97727992349992,3.8073549220576,7.3037807481771,10.631177055704,11.4655664048094,4.16992500144231,7.24792751344359,2,7.06608919045777,8.4178525148859,13.2067091493586,1,1,2,10.0443941193585,7.32192809488736,3,9.74483383749955,8.07681559705083,4.70043971814109,2.58496250072116,11.4346282276367,3.8073549220576,1,1,4.16992500144231,3.32192809488736,1,4,7.04439411935845,1,2,5.24792751344359,1,6.28540221886225,1,4.70043971814109,7.62935662007961,1,10.91288933623,2,3,12.7232343008934,6.24792751344359,3.8073549220576,2,1,3.58496250072116,1,1,1,6.4262647547021,10.4737057496194,8.52356195605701,6.04439411935845,2,2.58496250072116,10.6952282914958,4.16992500144231,2.58496250072116,9.96866679319521,1,2,5,3,6.55458885167764,3.58496250072116,6.55458885167764,1,1,7.75488750216347,1,5.8073549220576,1,2.58496250072116,5.8073549220576,8.16992500144231,11.5372184005386,5.95419631038687,2,7.18982455888002,10.1369911120802,8.38370429247405,7.61470984411521,1,9.22881869049588,8.56985560833095,7.49185309632967,8.11894107272351,4.90689059560852,11.2384047393251,3.32192809488736,9,3.32192809488736,5,5,11.1318569606088,4.32192809488736,7.32192809488736,5.90689059560852,2.58496250072116,2,1,4,9.83605035505807,5.85798099512757,1,6.08746284125034,9.16490692667569,4.58496250072116,3.58496250072116,12.3253054550897,5.58496250072116,10.3128829552844,1,3.58496250072116,"0"
"TCGA.85.7697.01A",4.32192809488736,8.18982455888002,5.39231742277876,12.0640690803855,9.3037807481771,13.0140204703149,5.85798099512757,13.815183130008,8.6724253419715,6.88264304936184,1,12.782588759495,1,11.2264121927888,14.3121739096904,11.7523806465529,2,7.53915881110803,9.96289600533726,11.8734441125154,6.35755200461808,8.77478705960117,5.58496250072116,7.89481776330794,7.22881869049588,4.90689059560852,8.09803208296053,9.51175265376738,10.4635243732712,6.7279204545632,9.23840473932508,6.49185309632967,9.34872815423108,9.76487159073609,15.1926780982335,1,3.8073549220576,2,14.8393022219005,11.6662240028032,7.32192809488736,8.10852445677817,8.88874324889826,5.32192809488736,6.49185309632967,14.7693213225395,4.16992500144231,6.08746284125034,2,13.6494807389686,6.78135971352466,6.28540221886225,8.4594316186373,6.95419631038687,1,1,5.64385618977472,5,6.61470984411521,3.8073549220576,5.39231742277876,9.25738784269265,1,10.3750394313469,6.78135971352466,6.90689059560852,4.16992500144231,8.38370429247405,4.90689059560852,8.67948009950545,6.61470984411521,4,2,6.35755200461808,2.58496250072116,7.76818432477693,8.97727992349992,9.05528243550119,2.58496250072116,3,1,10.6899979714194,3.58496250072116,5.8073549220576,8.86418614465428,1,1,3.8073549220576,5.90689059560852,3.8073549220576,10.0794847838268,9.14974711950468,9.41362792902417,7.4594316186373,10.3014961949825,4.16992500144231,6.83289001416474,5.85798099512757,1,9.4178525148859,10.8281364841941,14.4257404243162,5.95419631038687,5.95419631038687,10.3923174227788,12.0498485494506,10.7582232147267,7.91886323727459,4.16992500144231,9.44708322620965,12.1636496760158,7.74146698640115,8.49185309632967,7.22881869049588,12.0216740428584,2,10.2597432636908,4.90689059560852,3,4.16992500144231,11.2395985292491,3.58496250072116,9.47167521439204,8.55458885167764,6.4262647547021,2,2,3.32192809488736,10.1598713367784,9.3264294871223,1,10.8313072438021,8.14974711950468,10.3944626946103,6.55458885167764,14.0484868739923,7.59991284218713,8.03342300153745,3.8073549220576,7.88264304936184,"0"
"TCGA.NK.A5D1.01A",8.12928301694497,9.00562454919388,1,11.2419831496943,8.70735913208088,12.0573148777827,2,14.8963324039099,9.00562454919388,1,1,12.567480801143,1,7.24792751344359,11.5631962722167,10.7862696276485,2,4.16992500144231,12.2167458581953,4.32192809488736,1,4.70043971814109,6.90689059560852,3,7.8703647195834,2.58496250072116,7.97727992349992,8.33091687811462,12.4812949046311,6.7279204545632,10.5774288280357,5,12.3608470841797,10.2900188469326,1,6.49185309632967,1,5.70043971814109,8.23840473932508,1,1,4.4594316186373,4.90689059560852,2,7.39231742277876,14.243173983473,7.98868468677217,1,1,5.16992500144231,6.8073549220576,6.85798099512757,5,5.08746284125034,2,2,6.35755200461808,1,7.94251450533924,11.2620948453702,5.52356195605701,3,1,13.4207497582968,2.58496250072116,3.58496250072116,5.75488750216347,6.39231742277876,3.32192809488736,8.4594316186373,7.28540221886225,2.58496250072116,1,1,5.8073549220576,9.27146302790437,7,7.85798099512757,4,1,4.70043971814109,10.0498485494506,1,7.65821148275179,12.0559602344523,1,1,6.12928301694497,5.52356195605701,1,12.211888294546,5,8.99435343685886,7.28540221886225,6.70043971814109,5.52356195605701,9.06069593168755,1,7.35755200461808,9.35314682549808,8.33091687811462,2.58496250072116,5.24792751344359,3,8.64385618977472,10.240791332162,8.16992500144231,8.28540221886225,7.52356195605701,9.70390357344466,10.8641861446543,9.13955135239879,7.4262647547021,8.54689445988764,11.8726748802706,4.70043971814109,10.4573808790725,3.8073549220576,3.58496250072116,1,11.7176764230664,7.49185309632967,12.929258408637,1,1,1,1,5.58496250072116,10.0552824355012,8.28540221886225,2,3.58496250072116,7.5077946401987,14.7535301627812,11.120237877342,13.3998119593257,7.22881869049588,6.55458885167764,3.58496250072116,8.55458885167764,"0"
"TCGA.L3.A4E7.01A",6.4594316186373,2,2,6.90689059560852,9.25738784269265,12.724087461794,7.37503943134692,15.5630174737482,9.12412131182919,4,1,10.6474584264549,1,8.11894107272351,13.7174622303497,12.4377520723236,1,7.62935662007961,1,1,2.58496250072116,7.71424551766612,4.16992500144231,7.2667865406949,8.67948009950545,6.16992500144231,9.42206476617281,7.98868468677217,9.91587937883577,5.32192809488736,10.8579809951276,5.64385618977472,10.1996723448364,8.83289001416474,11.2106713437856,1,1,3.58496250072116,12.9125151448024,4,2.58496250072116,7.14974711950468,6.04439411935845,5.58496250072116,3.8073549220576,13.6456584324087,2,3,1,13.7391477099865,5.32192809488736,1,7.2667865406949,4.90689059560852,1,1,4.32192809488736,4.58496250072116,4.16992500144231,5.95419631038687,6.35755200461808,8.08746284125034,3,14.2479275134436,3.8073549220576,1,2,6.8073549220576,5,2,1,4,1,1,1,5.39231742277876,8.45121111183233,5.58496250072116,8.05528243550119,1,2,13.4681148863781,3.8073549220576,5.85798099512757,11.2714630279044,1,1,5.52356195605701,4.16992500144231,1,1,8.58496250072116,1,1,9.2240016741981,1,3,1,2.58496250072116,4.70043971814109,4.16992500144231,5.95419631038687,2.58496250072116,2.58496250072116,11.2934716488381,11.7960396088298,9.94544383637791,9.94544383637791,4.4594316186373,12.2276159434142,11.4604558963096,6.12928301694497,8.07681559705083,4.70043971814109,11.1736771363034,5.16992500144231,9.8008998999203,3.8073549220576,3.58496250072116,2.58496250072116,13.0495082510551,2,5.24792751344359,4.90689059560852,2.58496250072116,2,1,7.4262647547021,9.70735913208088,9.32192809488736,1,4.90689059560852,8.08746284125034,6.08746284125034,4.32192809488736,14.4714211964249,6.7279204545632,6.52356195605701,4.32192809488736,7.65821148275179,"0"
"TCGA.21.5786.01A",3.58496250072116,7.32192809488736,3.58496250072116,12.3608470841797,7.12928301694497,11.9001120629775,5.4594316186373,13.8470573460913,9.3037807481771,3,1,11.3880172853451,3,9.2240016741981,13.0317012027403,10.2877123795494,1,8.59991284218713,10.2854022188622,9.93369065495223,6.6724253419715,5.24792751344359,5.8073549220576,5.75488750216347,9.61838550225861,3.32192809488736,7.58496250072116,9.99717948093762,12.9954138522252,5.39231742277876,7.44294349584873,6.70043971814109,10.4387918525783,9.23840473932508,11.1124395067816,1,6.83289001416474,1,12.9509203520301,10.3858624006415,3.32192809488736,8.81378119121704,6.58496250072116,4,7,14.292321632802,1,1,1,14.3440184398813,6.24792751344359,3.8073549220576,8.35755200461808,6.4594316186373,2.58496250072116,1,5.24792751344359,2.58496250072116,6.04439411935845,1,3.58496250072116,4,1,11.8384160757973,4.58496250072116,6.88264304936184,1,7.10852445677817,3.32192809488736,7.49185309632967,8.29462074889163,2,1,2,1,7.52356195605701,7,4.58496250072116,3.58496250072116,2,3.8073549220576,10.6456584324087,3,6.20945336562895,9.79116288855502,1,1,5,6.39231742277876,1,4.8073549220576,7.14974711950468,1,2.58496250072116,8.83920378809694,7.16992500144231,6.93073733756289,3,4.90689059560852,6.28540221886225,8.57742882803575,13.6910891862365,4.16992500144231,4,10.1085244567782,10.9158793788358,9.29001884693262,6.20945336562895,10.0714623625566,7.02236781302845,11.9837061926593,6.75488750216347,6.78135971352466,7.12928301694497,9.86418614465428,1,10.4655664048094,6.12928301694497,4.16992500144231,1,12.9447120610435,1,12.4828079567267,6.16992500144231,2,1,2,1,10.7548875021635,9.34429590791582,1,7.62935662007961,8.67948009950545,10.1241213118292,13.3657756353263,11.9351650496037,7.89481776330794,9.37937836707126,9.25266543245025,6.52356195605701,"0"
"TCGA.58.A46J.01A",8.44294349584873,6.85798099512757,1,5.32192809488736,8.40087943628219,11.843921051289,5.39231742277876,15.2190928738145,9.2045711442492,3.8073549220576,1,11.286557761608,1,9.56224242422107,14.5909378572215,12.6679985356725,3,5.39231742277876,9.63662462054365,2.58496250072116,2.58496250072116,7.3037807481771,3.58496250072116,5.39231742277876,6.90689059560852,6.4262647547021,11.5679560754155,10.3706874068072,11.2679570844028,5.39231742277876,9.5352753766208,7.12928301694497,10.9322147519684,9.62205181945638,11.8249587405285,1,3.32192809488736,2,10.2691266791494,7.28540221886225,4.58496250072116,8.43462822763673,9.21916852046216,5,6.85798099512757,13.6562013801946,2.58496250072116,1,1,13.093417564388,6.61470984411521,2,7.64385618977472,4.70043971814109,1,4.58496250072116,5.64385618977472,1,8.56985560833095,2,6.75488750216347,4.8073549220576,6.20945336562895,14.4181161412075,1,5.24792751344359,2,8.06608919045777,6.16992500144231,2.58496250072116,1,3.32192809488736,1,1,4,6.83289001416474,11.8073549220576,5.4594316186373,3.58496250072116,2,1,11.292321632802,4.58496250072116,1,10.8344710499842,3,2,6.52356195605701,5.85798099512757,1,7.59991284218713,9.13442632022093,1,1,10.9351650496037,1,5.58496250072116,3,4.8073549220576,4,4.32192809488736,6,3.32192809488736,6.49185309632967,12.8951965725633,13.1299269335104,10.6987046667703,8.82017896241519,3.8073549220576,13.8938703047851,10.5038257379958,6.4594316186373,13.0202855008446,6.58496250072116,13.1221809012598,4.4594316186373,10.6688849842662,5.08746284125034,1,3.58496250072116,13.1379517347154,2,6.70043971814109,4.90689059560852,2,1,7.70043971814109,9.78463484555752,11.632995197143,7.8073549220576,1,7.6724253419715,9.32192809488736,6.20945336562895,4.70043971814109,15.6881956605587,9.3264294871223,8.31288295528435,2.58496250072116,7.96578428466209,"0"
"TCGA.56.8305.01A",4.32192809488736,11.7813597135247,9.13955135239879,13.7084372989653,7.74146698640115,11.6724253419715,4.8073549220576,13.0101784040205,6.95419631038687,8.01122725542325,4,11.120237877342,1,13.4424251933316,13.4149494414743,10.9158793788358,2,10.5097750043269,11.9715435539508,11.2502984179063,6.95419631038687,5.70043971814109,4.58496250072116,8.59991284218713,7.58496250072116,4.4594316186373,8.14974711950468,9.75822321472672,10.8297227350861,6.28540221886225,6.4262647547021,6.95419631038687,10.7056323873614,8.88874324889826,14.2556187498396,6.16992500144231,2,1,13.6494807389686,10.1724275086455,4.32192809488736,8.70735913208088,8.22881869049588,7.75488750216347,6.16992500144231,14.0244471240406,6.16992500144231,3,1,5.24792751344359,7.16992500144231,1,4.90689059560852,6.35755200461808,1,2.58496250072116,6.20945336562895,2,6.12928301694497,3.32192809488736,5.85798099512757,7.56985560833095,2,10.8626373575588,2,6.90689059560852,4.70043971814109,5.52356195605701,4.58496250072116,7.90689059560852,3.32192809488736,2.58496250072116,2.58496250072116,4.58496250072116,3.58496250072116,7.65821148275179,9.06608919045777,9.38370429247405,5.64385618977472,2,3,11.3641346550081,4.16992500144231,5.52356195605701,9.61838550225861,1,1,4.90689059560852,5.70043971814109,5.52356195605701,9.39660478118186,7.71424551766612,5.52356195605701,4.16992500144231,8.33985000288462,1,7.02236781302845,2.58496250072116,4.16992500144231,8.74146698640115,9.93369065495223,13.5435152161522,6.32192809488736,5.58496250072116,12.4599438483749,10.9008668079807,9.06608919045777,7.4262647547021,5.08746284125034,9.76818432477693,10.0028150156071,5.75488750216347,6.64385618977472,4.16992500144231,11.4858293087019,4.16992500144231,10.0112272554233,4.16992500144231,2,3.32192809488736,11.0701209444768,6.55458885167764,11.631177055704,2.58496250072116,4.58496250072116,2,6.20945336562895,4.32192809488736,8.88874324889826,9.09275714091985,7.83289001416474,7.6724253419715,7.06608919045777,9.58496250072116,8.07681559705083,12.7082217300384,4.58496250072116,10.2992080183873,2,8.76818432477693,"0"
"TCGA.NC.A5HO.01A",3,5.08746284125034,1,9.50382573799575,5,9.0389189892923,4.4594316186373,12.6238814900135,3.32192809488736,4.4594316186373,2,13.1978309980122,1,9.5352753766208,14.1446582428319,8.92481250360578,2,4.16992500144231,2,7.90689059560852,1,5.08746284125034,3,5.64385618977472,6.08746284125034,3,5.16992500144231,8.92481250360578,9.82972273508606,3.32192809488736,5.90689059560852,2.58496250072116,7.90689059560852,6.6724253419715,13.7484025283982,1,1,1,12.0484868739923,6.4262647547021,1,5.52356195605701,4,3.32192809488736,6.08746284125034,11.664447284548,1,1,1,10.6865005271832,7.4262647547021,1,6.24792751344359,4.8073549220576,1,1,5.70043971814109,1,5.75488750216347,2,3.8073549220576,3.58496250072116,1,7.88264304936184,4.4594316186373,1,2,5.39231742277876,5.39231742277876,8.07681559705083,1,2.58496250072116,1,1,1,5.16992500144231,4.8073549220576,7.33985000288462,2,1,1,10.5313814605163,3.58496250072116,4,8.54689445988764,1,1,4.16992500144231,5.64385618977472,1,11.5717526435035,4.58496250072116,1,1,6.04439411935845,4.8073549220576,6.61470984411521,1,3.8073549220576,8.83289001416474,7.82017896241519,11.2946207488916,4.16992500144231,2,7.84549005094437,9.51175265376738,7.56985560833095,4.58496250072116,5.8073549220576,9.83289001416474,8.467605550083,4.8073549220576,4.16992500144231,6.32192809488736,8.09803208296053,2.58496250072116,9.74146698640115,2,2,2,10.2167458581953,3.32192809488736,4,1,1,2,2,1,9.2045711442492,7.4262647547021,1,6.20945336562895,4.4594316186373,5.90689059560852,2.58496250072116,10.2761244052742,5.64385618977472,4,4.4594316186373,2,"0"
"TCGA.85.7950.01A",4.70043971814109,9.99435343685886,3,13.6535168794214,7.61470984411521,10.5755392468345,6.12928301694497,11.5717526435035,6.04439411935845,6.35755200461808,1,15.7529032674754,2.58496250072116,10.9158793788358,10.7797193551434,12.4701504352744,3.32192809488736,8.54689445988764,4,11.1736771363034,3.58496250072116,4.32192809488736,4,8.82017896241519,5.70043971814109,7.78135971352466,6.7279204545632,6.52356195605701,10.5603328342124,7.44294349584873,8.64385618977472,6.04439411935845,11.0914353863236,8.36632221424582,5.4594316186373,1,6,1,5.95419631038687,3.32192809488736,4.4594316186373,7.37503943134692,6.85798099512757,3,6.28540221886225,15.3592691309615,4.58496250072116,1,7.39231742277876,13.4141566792741,5.16992500144231,2,5,5.16992500144231,1,1,6.12928301694497,3,8.63662462054365,9.43879185257826,9.24317398347295,5.75488750216347,2,15.3338541611942,2.58496250072116,6.28540221886225,5.4594316186373,5.24792751344359,3.8073549220576,4.32192809488736,4.4594316186373,2,1,1,5.8073549220576,6.61470984411521,11.1873520732005,3.58496250072116,2.58496250072116,1,2,9.80413102118332,3.58496250072116,5.24792751344359,11.8153832958135,1,1,6,6.04439411935845,1,4.16992500144231,6.12928301694497,9.16992500144231,8.467605550083,8.98868468677217,2,7.18982455888002,1,1,3.8073549220576,5.08746284125034,5.75488750216347,13.8362476466879,3,9.48381577726426,11.3793783670713,9.88569637333939,9.64385618977473,3.8073549220576,9.0389189892923,11.4625022725973,7.06608919045777,4.90689059560852,5.52356195605701,10.3944626946103,2.58496250072116,9.77478705960117,6.8073549220576,7.22881869049588,1,7.37503943134692,2.58496250072116,7.39231742277876,1,1,1,5.70043971814109,3.32192809488736,9.90689059560852,11.4283601727043,1,2.58496250072116,4.8073549220576,6.32192809488736,5.8073549220576,13.3074854485895,5.58496250072116,4.8073549220576,10.2479275134436,10.8902642770211,"0"
"TCGA.63.7022.01A",5.58496250072116,3,2,6.4594316186373,7.65821148275179,12.7801296196253,5.24792751344359,13.0244471240406,7.79441586635011,4.90689059560852,1,11.240791332162,1,9.81057163474115,12.7702509273949,12.140829770773,1,5.64385618977472,7.22881869049588,5.95419631038687,2.58496250072116,3,5.58496250072116,4.4594316186373,6.49185309632967,4.16992500144231,8.76818432477693,6.16992500144231,9.62935662007961,3,8.88874324889826,4.32192809488736,9.29001884693262,9.84549005094438,12.3123157466901,1,2,1,10.8948177633079,5.52356195605701,5.4594316186373,4.90689059560852,10.4199601778479,2,3.58496250072116,16.2915664362781,2.58496250072116,2,2.58496250072116,10.3151495622563,6.83289001416474,1,6,6.39231742277876,1,2,4.8073549220576,1,6.70043971814109,3.8073549220576,5.52356195605701,4.4594316186373,3,11.3674147512468,3.58496250072116,5,1,5.58496250072116,4.16992500144231,4.16992500144231,2.58496250072116,2,6.95419631038687,1,1,6.08746284125034,6.90689059560852,7.94251450533924,3,1,1,10.1497471195047,3,4,8.4594316186373,1,5.52356195605701,3,5.16992500144231,5.4594316186373,7.89481776330794,10.1318569606088,2,1,9.70735913208088,1,5.24792751344359,4,2.58496250072116,6.32192809488736,5.16992500144231,9.2240016741981,2.58496250072116,4.58496250072116,13.0801513096141,12.418379719365,10.8626373575588,8.15987133677839,1,8.4093909361377,12.1195896207411,5.24792751344359,8.43462822763673,6.52356195605701,13.4426843678658,3.32192809488736,8.15987133677839,4.32192809488736,1,1,10.1996723448364,1,8.15987133677839,2.58496250072116,2,2,2.58496250072116,2,8.34872815423108,9.3037807481771,1,6.78135971352466,7.32192809488736,6.70043971814109,5.52356195605701,13.0136716140586,6.6724253419715,4.70043971814109,3,4.16992500144231,"0"
